"","reviewid","title","artist","score","best_new_music","author_type","pub_date","pub_day","pub_month","pub_year","label","genre","year"
"1",22703,"mezzanine","massive attack",9.3,0,"contributor","2017-01-08",8,1,2017,"virgin","electronic",1998
"2",22721,"prelapsarian","krallice",7.9,0,"contributor","2017-01-07",7,1,2017,"hathenter","metal",2016
"3",22659,"all of them naturals","uranium club",7.3,0,"contributor","2017-01-07",7,1,2017,"fashionable idiots","rock",2016
"4",22659,"all of them naturals","uranium club",7.3,0,"contributor","2017-01-07",7,1,2017,"static shock","rock",2016
"5",22661,"first songs","kleenex, liliput",9,1,"associate reviews editor","2017-01-06",6,1,2017,"kill rock stars","rock",2016
"6",22661,"first songs","kleenex, liliput",9,1,"associate reviews editor","2017-01-06",6,1,2017,"mississippi","rock",2016
"7",22725,"new start","taso",8.1,0,"tracks coordinator","2017-01-06",6,1,2017,"teklife","electronic",2016
"8",22722,"insecure (music from the hbo original series)","various artists",7.4,0,"contributor","2017-01-05",5,1,2017,"rca",NA,2016
"9",22704,"stillness in wonderland","little simz",7.1,0,"contributor","2017-01-05",5,1,2017,"age 101","rap",2016
"10",22694,"tehillim","yotam avni",7,0,"contributor","2017-01-05",5,1,2017,"stroboscopic artefacts","electronic",2016
"11",22714,"reflection","brian eno",7.7,0,"contributor","2017-01-04",4,1,2017,"warp","experimental",2017
"12",22724,"filthy america its beautiful","the lox",5.3,0,"contributor","2017-01-04",4,1,2017,"roc nation","rap",2016
"13",22715,"clear sounds/perfetta","harry bertoia",8,0,"contributor","2017-01-04",4,1,2017,"important","experimental",2016
"14",22745,"run the jewels 3","run the jewels",8.6,1,"associate staff writer","2017-01-03",3,1,2017,"self-released","rap",2016
"15",22700,"nadir","steven warwick",7.6,0,"contributor","2017-01-03",3,1,2017,"pan","electronic",2016
"16",22720,"december 99th","yasiin bey",3.5,0,"contributor","2017-01-02",2,1,2017,"a country called earth","rap",2016
"17",22720,"december 99th","yasiin bey",3.5,0,"contributor","2017-01-02",2,1,2017,"awge","rap",2016
"18",22699,"don't smoke rock","smoke dza, pete rock",7.4,0,"contributor","2017-01-02",2,1,2017,"babygrande","rap",2016
"19",22665,"punk45: les punks: the french connection (the first wave of french punk 1977-80)","various artists",6.6,0,"contributor","2017-01-02",2,1,2017,"soul jazz",NA,2016
"20",22666,"brnshj (puncak)","senyawa",7.4,0,"contributing editor","2017-01-02",2,1,2017,"cejero","experimental",2016
"21",22719,"merry christmas lil mama","chance the rapper, jeremih",8.1,0,"associate staff writer","2016-12-30",30,12,2016,"self-released","pop/r&b",2016
"22",22719,"merry christmas lil mama","chance the rapper, jeremih",8.1,0,"associate staff writer","2016-12-30",30,12,2016,"self-released","rap",2016
"23",22667,"///// effectual","jamire williams",7.2,0,"contributor","2016-12-30",30,12,2016,"leaving","experimental",2016
"24",22691,"love you to death","the-dream",7,0,"contributor","2016-12-29",29,12,2016,"radio killa","pop/r&b",2016
"25",22691,"love you to death","the-dream",7,0,"contributor","2016-12-29",29,12,2016,"radio killa","rap",2016
"26",22702,"what graceless dawn","worm ouroboros",7.5,0,"associate staff writer","2016-12-29",29,12,2016,"profound lore","metal",2016
"27",22718,"not the actual events ep","nine inch nails",6.3,0,"contributor","2016-12-28",28,12,2016,"self-released","rock",2016
"28",22706,"holy science","elder ones",7.8,0,"contributor","2016-12-28",28,12,2016,"northern spy","experimental",2016
"29",22695,"early tapes, 1996-1998","the microphones",6.5,0,"contributor","2016-12-27",27,12,2016,"p.w. elverum & sun","experimental",2016
"30",22695,"early tapes, 1996-1998","the microphones",6.5,0,"contributor","2016-12-27",27,12,2016,"p.w. elverum & sun","rock",2016
"31",22713,"the wasp factory","ben frost",7.3,0,"contributor","2016-12-27",27,12,2016,"bedroom community","electronic",2016
"32",22705,"a very kacey christmas","kacey musgraves",6.8,0,"senior staff writer","2016-12-23",23,12,2016,"mercury","folk/country",2016
"33",22532,"turn into","jay som",8.2,0,"assistant editor","2016-12-23",23,12,2016,"polyvinyl","rock",2016
"34",22701,"traditional music of notional species vol. ii","rashad becker",6.8,0,"contributor","2016-12-23",23,12,2016,"pan","electronic",2016
"35",22707,"swiss radio days vol. 41 - zurich 1961","ray charles",9,1,"contributor","2016-12-22",22,12,2016,"challenge","jazz",2016
"36",22708,"do what thou wilt.","ab-soul",4.4,0,"associate staff writer","2016-12-22",22,12,2016,"top dawg entertainment","rap",2016
"37",22559,"the great southern trendkill","pantera",7.7,0,"contributor","2016-12-22",22,12,2016,"rhino","metal",1996
"38",22559,"the great southern trendkill","pantera",7.7,0,"contributor","2016-12-22",22,12,2016,"rhino","metal",2016
"39",22692,"the return of east atlanta santa","gucci mane",7.6,0,"contributor","2016-12-21",21,12,2016,"1017 brick squad","rap",2016
"40",22677,"jackie ost","mica levi",7.1,0,"tracks coordinator","2016-12-21",21,12,2016,"milan","experimental",2016
"41",22469,"passion, pain & demon slayin","kid cudi",6.7,0,"associate editor","2016-12-20",20,12,2016,"republic","rap",2016
"42",22469,"passion, pain & demon slayin","kid cudi",6.7,0,"associate editor","2016-12-20",20,12,2016,"republic","rock",2016
"43",22469,"passion, pain & demon slayin","kid cudi",6.7,0,"associate editor","2016-12-20",20,12,2016,"wicked awesome","rap",2016
"44",22469,"passion, pain & demon slayin","kid cudi",6.7,0,"associate editor","2016-12-20",20,12,2016,"wicked awesome","rock",2016
"45",22711,"pieces in space","sammus",7.2,0,"associate staff writer","2016-12-20",20,12,2016,"don giovanni","rap",2016
"46",22678,"fireplace: thenottheotherside","hodgy",5,0,"associate editor","2016-12-19",19,12,2016,"columbia","rap",2016
"47",22664,"slight freedom","jeff parker",8,0,"contributing editor","2016-12-19",19,12,2016,"eremite","jazz",2016
